"Lead Shipment Number","Tracking Number","Account Number","Invoice Number","Invoice Date","Current Carrier Name","Current Normalized Service","Current Carrier Service","Proposed Carrier Name","Proposed Normalized Service","Ship Date",Zone,"Weight UOM","Actual Weight","Original Billed weight","Proposed Billed Weight","DIM UOM",Length,Width,Height,Volume,"Dim Factor","Container Type","From City","From State","From Zip","From Country","To City","To State","To Zip","To Country","Current Published Rate","Current Discount Percent","Current Discount ($)","Proposed Published Rate","Proposed Discount Percent","Proposed Discount ($)","Current Net Freight","Proposed Net Freight","Current Fuel Net Charge","Proposed Fuel Surcharge (%)","Proposed Fuel Amount","Proposed Fuel Discount Percent","Proposed Fuel Discount Amount","Proposed Fuel Net Charge","Fuel Difference($)","Current Other Net Accessorial","Proposed Other Net Accessorial","Accessorial Difference($)","Current Total Cost","Proposed Total Cost",Diff($)
,1Z11WF630302830914,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-27,4,lb,39.00,39.00,39.00,in,20.00,12.00,12.00,"2,880.00",194.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,33.42,38.48,12.86,33.60,67.00,22.51,20.56,11.09,3.29,16.00,1.77,0.00,0.00,1.77,1.52,0,0,0,23.85,12.86,10.99
,1Z1E29E60395161895,00003X914A,0000003X914A054,2024-02-03,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-01-25,8,lb,2.00,7.00,5.00,in,13.00,11.00,6.00,858.00,194.00,PKG,"GLEN BURNIE",MD,21061,US,LINDON,UT,84042,US,20.27,30.54,6.19,19.53,57.00,11.13,14.08,9.70,2.18,15.25,1.48,0.00,0.00,1.48,0.7,0.81,0.00,0.81,17.07,11.18,5.89
,1Z249V6A0313444462,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-02-01,5,lb,1.00,12.00,8.00,in,19.00,9.00,9.00,"1,539.00",194.00,PKG,CATOOSA,OK,74015,US,LINDON,UT,84042,US,17.90,30.00,5.37,17.90,57.00,10.20,12.53,9.70,1.91,15.25,1.48,0.00,0.00,1.48,0.43,0,0,0,14.44,11.18,3.26
,1Z2A921X0345755615,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-22,6,lb,14.00,18.00,14.00,in,30.00,9.00,9.00,"2,430.00",194.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,26.42,33.50,8.85,22.18,64.00,14.20,17.57,9.70,2.81,16.00,1.55,0.00,0.00,1.55,1.26,16.24,7.25,8.99,36.62,18.50,18.12
,1Z2A921X0346125802,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-22,6,lb,13.00,15.00,13.00,in,41.00,7.00,7.00,"2,009.00",194.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,23.33,33.48,7.81,20.95,64.00,13.41,15.52,9.70,2.48,16.00,1.55,0.00,0.00,1.55,0.93,13.08,5.8,7.28,31.08,17.05,14.03
,1Z2A921X0346182778,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-22,6,lb,38.00,38.00,38.00,in,0.00,0.00,0.00,0.00,194.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,47.68,38.51,18.36,47.68,67.00,31.95,29.32,15.73,4.69,16.00,2.52,0.00,0.00,2.52,2.17,77.83,36.25,41.58,111.84,54.50,57.34
,1Z2A921X0347395386,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-22,6,lb,34.00,36.00,34.00,in,61.00,9.00,9.00,"4,941.00",194.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,46.42,38.50,17.87,43.80,67.00,29.35,28.55,14.45,9.65,16.00,5.03,0.00,0.00,5.03,4.62,58.09,27.88,30.21,96.29,47.36,48.93
,1Z2A921X0347464391,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-02-22,6,lb,34.00,34.00,34.00,in,61.00,9.00,8.00,"4,392.00",194.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,43.80,38.49,16.86,43.80,67.00,29.35,26.94,14.45,9.39,16.00,2.31,0.00,0.00,2.31,7.08,57.99,27.88,30.11,62.57,27.64,34.93
,1Z2A921X0347478859,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-23,6,lb,40.00,40.00,40.00,in,22.00,13.00,13.00,"3,718.00",194.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,49.92,38.50,19.22,49.92,67.00,33.45,30.70,16.47,4.91,16.00,2.64,0.00,0.00,2.64,2.27,62.68,29,33.68,98.29,48.11,50.18
,1Z2A921X0347990661,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-23,6,lb,13.00,15.00,13.00,in,41.00,7.00,7.00,"2,009.00",194.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,23.33,33.48,7.81,20.95,64.00,13.41,15.52,9.70,2.48,16.00,1.55,0.00,0.00,1.55,0.93,13.08,5.8,7.28,31.08,17.05,14.03
,1Z2R0E660349019154,00003X914A,0000003X914A124,2024-03-23,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-03-22,3,lb,11.00,11.00,11.00,in,12.00,11.00,6.00,792.00,194.00,PKG,WATONGA,OK,"73772 4230",US,CANADIAN,TX,79014,US,15.64,31.59,4.94,15.70,64.00,10.05,10.70,9.70,3.91,15.75,3.76,0.00,0.00,3.76,0.15,15.59,14.15,1.44,30.20,27.61,2.59
,1Z2R0E660350447386,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-06,3,lb,4.00,6.00,5.00,in,12.00,11.00,6.00,792.00,194.00,PKG,WATONGA,OK,"73772 4230",US,CANADIAN,TX,79014,US,14.13,24.27,3.43,13.95,57.00,7.95,10.70,9.70,3.85,15.25,3.64,0.00,0.00,3.64,0.21,15.59,14.15,1.44,30.14,27.49,2.65
,1Z2R0E660351731174,00003X914A,0000003X914A134,2024-03-30,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-03-22,5,lb,11.00,20.00,14.00,in,16.00,13.00,13.00,"2,704.00",194.00,PKG,WATONGA,OK,"73772 4230",US,LINDON,UT,84042,US,24.06,34.79,8.37,19.75,64.00,12.64,15.69,9.70,2.47,15.75,1.53,0.00,0.00,1.53,0.94,0.91,0.00,0.91,19.07,11.23,7.84
,1Z2X40100398637647,00003X914A,0000003X914A054,2024-02-03,UPS,"Ground Resi(D)","GROUND RESIDENTIAL COLLECT",FedEx,Home(D),2024-01-26,5,lb,27.00,53.00,38.00,in,26.00,20.00,14.00,"7,280.00",194.00,PKG,TOMBALL,TX,77375,US,HUDSON,CO,80642,US,47.70,33.40,15.93,38.67,67.00,25.91,31.77,12.76,6.99,15.25,3.54,0.00,0.00,3.54,3.45,13.35,10.48,2.87,52.11,26.78,25.33
,1Z38E69R0314297746,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-01-31,5,lb,28.00,39.00,28.00,in,25.00,24.00,9.00,"5,400.00",194.00,PKG,WILLISTON,ND,58801,US,LINDON,UT,84042,US,30.84,20.36,6.28,30.84,67.00,20.66,24.56,10.18,3.74,15.25,1.55,0.00,0.00,1.55,2.19,0,0,0,28.30,11.73,16.57
,1Z3X914A0158293922,00003X914A,0000003X914A114,2024-03-16,UPS,"1Day AM(D)","NEXT DAY AIR RESIDENTIAL",FedEx,"1Day AM(D)",2024-03-11,107,lb,1.00,2.00,2.00,in,7.00,6.00,5.00,210.00,194.00,PKG,,,,,WHEELING,WV,26003,US,106.00,44.00,46.64,104.91,75.00,78.68,59.36,26.23,10.98,16.75,4.91,0.00,0.00,4.91,6.07,6.20,3.08,3.12,76.54,34.22,42.32
,1Z3X914A0159170991,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","SHIPPING CHARGE CORRECTION NEXT DAY AIR",FedEx,"1Day AM(D)",2024-02-08,108,lb,13.00,15.00,13.00,in,21.00,12.00,8.00,"2,016.00",194.00,PKG,,UT,,,MIAMI,FL,33122,US,233.81,42.68,99.78,233.81,75.00,175.36,134.03,58.45,22.79,17.00,9.94,0.00,0.00,9.94,12.85,0,0,0,156.82,68.39,88.43
,1Z3X914A0159569178,00003X914A,0000003X914A154,2024-04-13,UPS,"1Day AM(D)","SHIPPING CHARGE CORRECTION NEXT DAY AIR",FedEx,"1Day AM(D)",2024-04-09,106,lb,20.00,21.00,20.00,in,24.00,12.00,10.00,"2,880.00",194.00,PKG,LINDON,UT,840421677,US,BOERNE,TX,78006,US,237.96,40.32,95.94,237.96,75.00,178.47,142.02,59.49,24.08,16.50,10.47,0.00,0.00,10.47,13.61,7.8,7.8,0,170.05,73.91,96.14
,1Z3X914A0190228549,00003X914A,0000003X914A134,2024-03-30,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-26,104,lb,4.00,6.00,5.00,in,12.00,11.00,6.00,792.00,194.00,PKG,LINDON,UT,84042,US,FARMINGTON,NM,87401,US,119.59,49.50,59.20,105.27,75.00,78.95,60.39,26.32,10.27,17.00,4.47,0.00,0.00,4.47,5.8,0,0,0,70.66,30.79,39.87
,1Z3X914A0190282221,00003X914A,0000003X914A104,2024-03-09,UPS,"1Day AM(D)","SHIPPING CHARGE CORRECTION NEXT DAY AIR",FedEx,"1Day AM(D)",2024-03-07,105,lb,28.00,48.00,35.00,in,26.00,17.00,15.00,"6,630.00",194.00,PKG,VICTORIA,UT,77901,US,LOUISVILLE,KY,40241,US,344.28,29.06,100.05,344.28,75.00,258.21,244.23,86.07,41.52,17.00,14.63,0.00,0.00,14.63,26.89,0,0,0,285.75,100.70,185.05
,1Z3X914A0190686509,00003X914A,0000003X914A144,2024-04-06,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-04-03,106,lb,3.00,9.00,7.00,in,19.00,8.00,8.00,"1,216.00",194.00,PKG,LINDON,UT,84042,US,GARY,IN,46404,US,154.63,49.50,76.54,145.53,75.00,109.15,78.09,36.38,13.28,17.00,6.18,0.00,0.00,6.18,7.1,0,0,0,91.37,42.56,48.81
,1Z3X914A0190724584,00003X914A,0000003X914A084,2024-02-24,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-21,106,lb,82.00,115.00,82.00,in,54.00,21.00,14.00,"15,876.00",194.00,PKG,LINDON,UT,84042,US,KENEDY,TX,78119,US,727.36,24.79,180.32,727.36,75.00,545.52,547.04,181.84,104.46,17.50,40.13,0.00,0.00,40.13,64.33,49.9,47.45,2.45,701.40,269.42,431.98
,1Z3X914A0191356980,00003X914A,0000003X914A094,2024-03-02,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-26,104,lb,14.00,23.00,17.00,in,24.00,13.00,10.00,"3,120.00",194.00,PKG,VICTORIA,TX,77901,US,ODESSA,TX,79765,US,206.83,34.43,71.21,206.83,75.00,155.12,135.62,51.71,23.73,17.50,9.05,0.00,0.00,9.05,14.68,0,0,0,159.35,60.76,98.59
,1Z3X914A0191380739,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,104,lb,28.00,27.00,28.00,in,15.00,13.00,12.00,"2,340.00",194.00,PKG,LINDON,UT,84042,US,WINDSOR,CO,80550,US,280.90,45.20,126.96,280.90,75.00,210.68,153.94,70.23,26.17,17.00,11.94,0.00,0.00,11.94,14.23,0,0,0,180.11,82.17,97.94
,1Z3X914A0191666145,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,104,lb,28.00,26.00,28.00,in,15.00,13.00,12.00,"2,340.00",194.00,PKG,LINDON,UT,84042,US,WINDSOR,CO,80550,US,280.90,46.42,130.39,280.90,75.00,210.68,150.51,70.23,25.59,17.00,11.94,0.00,0.00,11.94,13.65,0,0,0,176.10,82.17,93.93
,1Z3X914A0191748333,00003X914A,0000003X914A054,2024-02-03,UPS,"1Day AM(D)","NEXT DAY AIR RESIDENTIAL",FedEx,"1Day AM(D)",2024-01-30,105,lb,18.00,18.00,18.00,in,49.00,6.00,6.00,"1,764.00",194.00,PKG,LINDON,UT,84042,US,WEATHERFORD,TX,76087,US,233.99,44.00,102.96,232.34,75.00,174.26,131.03,58.09,29.27,16.75,11.23,0.00,0.00,11.23,18.04,43.8,40.68,3.12,172.35,78.25,94.10
,1Z3X914A0192245517,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,106,lb,2.00,2.00,2.00,in,7.00,6.00,5.00,210.00,194.00,PKG,LINDON,UT,84042,US,"BATTLE CREEK",MI,49015,US,94.14,44.00,41.42,93.18,75.00,69.89,52.72,26.21,8.96,17.00,4.46,0.00,0.00,4.46,4.5,0,0,0,61.68,30.67,31.01
,1Z3X914A0192347701,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR RESIDENTIAL",FedEx,"1Day AM(D)",2024-02-06,107,lb,2.00,4.00,3.00,in,10.00,7.00,6.00,420.00,194.00,PKG,LINDON,UT,84042,US,MILLERSBURG,OH,44654,US,122.10,38.55,47.07,122.10,75.00,91.58,75.03,30.53,14.81,17.00,6.71,0.00,0.00,6.71,8.1,12.05,8.93,3.12,101.89,46.17,55.72
,1Z3X914A0192351992,00003X914A,0000003X914A084,2024-02-24,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-21,106,lb,86.00,129.00,92.00,in,54.00,22.00,15.00,"17,820.00",194.00,PKG,LINDON,UT,84042,US,KENEDY,TX,78119,US,785.95,21.92,172.31,785.95,75.00,589.46,613.64,196.49,116.12,17.50,42.69,0.00,0.00,42.69,73.43,49.9,47.45,2.45,779.66,286.63,493.03
,1Z3X914A0192508340,00003X914A,0000003X914A124,2024-03-23,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-20,105,lb,4.00,8.00,6.00,in,61.00,4.00,4.00,976.00,194.00,PKG,LINDON,UT,84042,US,CARLSBAD,NM,88220,US,147.13,49.50,72.83,133.63,75.00,100.22,74.30,33.41,18.42,16.75,11.58,0.00,0.00,11.58,6.84,35.7,35.7,0,128.42,80.69,47.73
,1Z3X914A0192595676,00003X914A,0000003X914A523,2023-12-30,UPS,"1Day AM(D)","NEXT DAY AIR RESIDENTIAL",FedEx,"1Day AM(D)",2023-12-27,105,lb,24.00,29.00,24.00,in,25.00,13.00,12.00,"3,900.00",194.00,PKG,LINDON,UT,84042,US,WATONGA,OK,73772,US,255.09,33.23,84.77,255.09,75.00,191.32,170.32,63.77,28.09,15.25,11.34,0.00,0.00,11.34,16.75,13.9,10.6,3.3,212.31,85.71,126.60
,1Z3X914A0192920359,00003X914A,0000003X914A054,2024-02-03,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-01-31,103,lb,10.00,21.00,15.00,in,24.00,12.00,10.00,"2,880.00",194.00,PKG,LINDON,UT,84042,US,DOUGLAS,WY,82633,US,100.52,32.24,32.41,100.52,75.00,75.39,68.11,26.21,12.23,16.75,4.80,0.00,0.00,4.8,7.43,4.90,2.45,2.45,85.24,33.46,51.78
,1Z3X914A0193128526,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,104,lb,28.00,27.00,28.00,in,15.00,13.00,12.00,"2,340.00",194.00,PKG,LINDON,UT,84042,US,WINDSOR,CO,80550,US,280.90,45.20,126.96,280.90,75.00,210.68,153.94,70.23,26.17,17.00,11.94,0.00,0.00,11.94,14.23,0,0,0,180.11,82.17,97.94
,1Z3X914A0193231959,00003X914A,0000003X914A044,2024-01-27,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-01-19,105,lb,8.00,7.00,8.00,in,10.00,7.00,5.00,350.00,194.00,PKG,LINDON,UT,84042,US,SEMINOLE,TX,79360,US,145.65,45.54,66.33,145.65,75.00,109.24,79.32,36.41,13.47,16.00,6.22,0.00,0.00,6.22,7.25,4.90,2.45,2.45,97.69,45.08,52.61
,1Z3X914A0193707016,00003X914A,0000003X914A104,2024-03-09,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-01,106,lb,5.00,10.00,8.00,in,19.00,9.00,8.00,"1,368.00",194.00,PKG,LINDON,UT,84042,US,SHREVEPORT,LA,71129,US,152.39,42.38,64.59,152.39,75.00,114.29,87.80,38.10,15.37,17.50,6.67,0.00,0.00,6.67,8.7,0,0,0,103.17,44.77,58.40
,1Z3X914A0193817666,00003X914A,0000003X914A094,2024-03-02,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-23,105,lb,2.00,5.00,4.00,in,11.00,10.00,6.00,660.00,194.00,PKG,LINDON,UT,84042,US,ODESSA,TX,79765,US,113.24,42.92,48.60,113.24,75.00,84.93,64.64,28.31,11.31,17.50,4.95,0.00,0.00,4.95,6.36,0,0,0,75.95,33.26,42.69
,1Z3X914A0194144122,00003X914A,0000003X914A054,2024-02-03,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-01-30,105,lb,3.00,5.00,4.00,in,11.00,10.00,6.00,660.00,194.00,PKG,LINDON,UT,84042,US,MIDLAND,TX,79707,US,113.24,42.92,48.60,113.24,75.00,84.93,64.64,28.31,10.82,16.75,4.74,0.00,0.00,4.74,6.08,0,0,0,75.46,33.05,42.41
,1Z3X914A0194170022,00003X914A,0000003X914A104,2024-03-09,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-01,104,lb,1.00,4.00,3.00,in,10.00,7.00,6.00,420.00,194.00,PKG,LINDON,UT,84042,US,"SAN FRANCISCO",CA,94124,US,92.17,36.71,33.84,92.17,75.00,69.13,58.33,26.21,10.21,17.50,4.59,0.00,0.00,4.59,5.62,0,0,0,68.54,30.80,37.74
,1Z3X914A0194331189,00003X914A,0000003X914A044,2024-01-27,UPS,"1Day AM(D)","SHIPPING CHARGE CORRECTION NEXT DAY AIR",FedEx,"1Day AM(D)",2024-01-25,102,lb,9.00,22.00,16.00,in,25.00,12.00,10.00,"3,000.00",194.00,PKG,LINDON,UT,84042,US,ALTAMONT,UT,84001,US,75.59,33.54,25.35,75.59,75.00,56.69,50.24,26.21,8.82,16.75,4.80,0.00,0.00,4.8,4.02,4.90,2.45,2.45,63.96,33.46,30.50
,1Z3X914A0194528753,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,104,lb,28.00,27.00,28.00,in,15.00,13.00,12.00,"2,340.00",194.00,PKG,LINDON,UT,84042,US,WINDSOR,CO,80550,US,280.90,45.20,126.96,280.90,75.00,210.68,153.94,70.23,26.17,17.00,11.94,0.00,0.00,11.94,14.23,0,0,0,180.11,82.17,97.94
,1Z3X914A0194790111,00003X914A,0000003X914A084,2024-02-24,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-16,107,lb,40.00,61.00,44.00,in,25.00,24.00,14.00,"8,400.00",194.00,PKG,LINDON,UT,84042,US,RIVERVIEW,MI,48193,US,457.70,23.33,106.80,457.70,75.00,343.28,350.90,114.43,60.53,17.25,19.74,0.00,0.00,19.74,40.79,0,0,0,411.43,134.17,277.26
,1Z3X914A0195089306,00003X914A,0000003X914A134,2024-03-30,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-25,106,lb,28.00,28.00,28.00,in,24.00,12.00,12.00,"3,456.00",194.00,PKG,LINDON,UT,84042,US,DAYTON,TX,77535,US,315.61,49.50,156.23,312.83,75.00,234.62,159.38,78.21,27.77,17.00,13.97,0.00,0.00,13.97,13.8,3.95,3.95,0,191.10,96.13,94.97
,1Z3X914A0195174606,00003X914A,0000003X914A044,2024-01-27,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-01-24,106,lb,2.00,5.00,4.00,in,11.00,10.00,6.00,660.00,194.00,PKG,LINDON,UT,84042,US,HOUSTON,TX,77032,US,119.65,44.00,52.65,117.36,75.00,88.02,67.00,29.34,10.72,16.75,4.91,0.00,0.00,4.91,5.81,0,0,0,77.72,34.25,43.47
